iter	Passed	Remaining
0	1	139
1	3	149
2	4	147
3	5	136
4	7	134
5	8	137
6	10	135
7	11	137
8	13	140
9	16	144
10	17	142
11	19	139
12	20	138
13	22	139
14	24	137
15	25	135
16	27	133
17	28	129
18	29	127
19	31	125
20	33	125
21	34	123
22	36	122
23	38	122
24	40	121
25	42	121
26	44	121
27	46	119
28	48	117
29	49	116
30	51	115
31	53	113
32	54	110
33	55	108
34	57	105
35	58	103
36	59	101
37	60	99
38	61	96
39	63	94
40	64	92
41	64	89
42	66	87
43	67	85
44	68	83
45	69	81
46	70	79
47	72	78
48	73	76
49	74	74
50	75	72
51	76	70
52	77	69
53	79	67
54	79	65
55	81	63
56	82	62
57	83	60
58	84	58
59	85	57
60	86	55
61	87	53
62	88	52
63	89	50
64	90	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	100	36
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	19
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	123	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
